object_name,rf_material,epsilon_r,sigma_S_m,thickness_m
pabA_1_wW_PB_5.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_5_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_5_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_6,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_6.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_6_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_6_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_7,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_7.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_7_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_7_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_8,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_8.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_8_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_8_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_9,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_9.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_9_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PB_9_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_losa,concrete,5.31,0.0326,0.25
pabA_2_losa.001_S,concrete,5.31,0.0326,0.25
pabA_2_losa_B,concrete,5.31,0.0326,0.25
pabA_2_losa_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_PA,concrete,5.31,0.0326,0.25
pabA_2_PA.001_S,concrete,5.31,0.0326,0.25
pabA_2_PA_B,concrete,5.31,0.0326,0.25
pabA_2_PA_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_PB,concrete,5.31,0.0326,0.25
pabA_2_PB.001_S,concrete,5.31,0.0326,0.25
pabA_2_PB_B,concrete,5.31,0.0326,0.25
pabA_2_PB_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_roof,metal,1.0,10000000.0,0.01
pabA_2_roof.001_S,metal,1.0,10000000.0,0.01
pabA_2_roof_B,metal,1.0,10000000.0,0.01
pabA_2_roof_B.001_S,metal,1.0,10000000.0,0.01
pabA_2_wE_PA_0,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_0.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_0_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_0_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_1,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_1.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_10,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_10.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_10_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_10_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_11,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_11.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_11_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_11_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_1_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_1_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_2,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_2.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_2_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_2_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_3,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_3.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_3_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_3_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_4,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_4.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_4_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_4_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_5,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_5.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_5_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_5_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_6,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_6.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_6_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_6_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_7,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_7.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_7_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_7_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_8,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_8.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_8_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_8_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_9,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_9.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_9_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PA_9_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_0,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_0.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_0_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_0_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_1,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_1.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_10,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_10.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_10_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_10_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_11,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_11.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_11_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_11_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_1_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_1_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_2,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_2.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_2_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_2_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_3,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_3.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_3_B,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_3_B.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_4,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_4.001_S,concrete,5.31,0.0326,0.25
pabA_2_wE_PB_4_B,concrete,5.31,0.0326,0.25
