id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up9,bearing_deg_from_up9,estimated_bands
236,722,34,714,40139,-31.572,-60.723,9213,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.907,180.2,B5 (850); B2 (1900)
235,722,310,3224,53999,-31.572,-60.724,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.908,180.9,B5 (850); B2 (1900)
234,722,34,10770,17942030,-31.572,-60.729,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.932,184.9,B28 (700); B4 (AWS); B7 (2600)
309,722,310,13204,24482294,-31.565,-60.688,5154,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.96,151.7,B5 (850); B1 (2100)
188,722,34,770,7741117,-31.572,-60.733,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.974,188.0,B5 (850); B1 (2100)
176,722,310,23204,1812230,-31.566,-60.756,1000,LTE,1,0,True,0,0,23204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.988,206.7,B28 (700); B4 (AWS); B7 (2600)
510,722,34,793,6881485,-31.447,-60.725,7929,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.996,358.3,B5 (850); B1 (2100)
169,722,7,2761,133641225,-31.57,-60.745,1835,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,7.008,197.5,B28 (700); B4 (AWS); B7 (2600)
233,722,34,702,20103,-31.573,-60.721,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.02,178.6,B5 (850); B2 (1900)
244,722,7,2761,133635075,-31.57,-60.7,1000,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,7.025,162.1,B28 (700); B4 (AWS); B7 (2600)
186,722,34,10770,17942018,-31.573,-60.73,2009,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.051,185.5,B28 (700); B4 (AWS); B7 (2600)
173,722,310,23204,1173249,-31.569,-60.75,1000,LTE,1,0,True,0,0,23204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.06,201.4,B28 (700); B4 (AWS); B7 (2600)
174,722,310,13204,24497052,-31.569,-60.75,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.06,201.4,B5 (850); B1 (2100)
253,722,310,3224,43327,-31.57,-60.698,2690,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.086,160.6,B5 (850); B2 (1900)
168,722,310,13201,20141676,-31.57,-60.748,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.098,199.6,B5 (850); B1 (2100)
232,722,310,13204,24457633,-31.574,-60.726,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.136,182.4,B5 (850); B1 (2100)
187,722,310,3224,63810,-31.573,-60.737,3898,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.146,190.8,B5 (850); B2 (1900)
231,722,310,13201,20166917,-31.574,-60.728,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.146,183.9,B5 (850); B1 (2100)
243,722,34,794,6881789,-31.573,-60.707,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.176,168.0,B5 (850); B1 (2100)
167,722,34,10791,17971460,-31.57,-60.752,1000,LTE,1,0,True,0,0,10791,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.234,202.5,B28 (700); B4 (AWS); B7 (2600)
506,722,310,13204,24482386,-31.449,-60.75,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.245,339.1,B5 (850); B1 (2100)
229,722,34,704,40001,-31.575,-60.726,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.247,182.4,B5 (850); B2 (1900)
163,722,34,10770,17971460,-31.572,-60.746,3792,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.248,197.6,B28 (700); B4 (AWS); B7 (2600)
230,722,310,13200,20121584,-31.575,-60.718,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.255,176.4,B5 (850); B1 (2100)
256,722,310,13201,20122085,-31.567,-60.685,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.292,150.6,B5 (850); B1 (2100)
185,722,34,770,7741111,-31.575,-60.732,2364,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.293,186.9,B5 (850); B1 (2100)
254,722,310,13204,24447461,-31.57,-60.692,1466,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.294,156.4,B5 (850); B1 (2100)
172,722,34,10770,17994240,-31.569,-60.757,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.329,206.2,B28 (700); B4 (AWS); B7 (2600)
