measurement_id,zone,ms_id,ms_lat,ms_lon,ms_desc,banda,banda_nombre,banda_center_mhz,banda_dl_min_mhz,banda_dl_max_mhz,tech,marker,freq_mhz,power_dbm,confidence,is_ghost,out_of_band,is_usable_for_rf_model
M114,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B28,APT 700,780.5,758.0,803.0,LTE,M6,638.0,-101.2,ghost,True,True,False
M115,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B66,AWS ext,2155.0,2110.0,2200.0,LTE,M1,2124.7,-93.1,ok,False,False,True
M116,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B66,AWS ext,2155.0,2110.0,2200.0,LTE,M2,2121.0,-93.6,ok,False,False,True
M117,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B66,AWS ext,2155.0,2110.0,2200.0,LTE,M3,2137.7,-96.7,low,False,False,True
M118,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B66,AWS ext,2155.0,2110.0,2200.0,LTE,M4,2155.0,-99.2,ok,False,False,True
M119,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B66,AWS ext,2155.0,2110.0,2200.0,LTE,M5,2116.0,-97.4,ok,False,False,True
M120,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B66,AWS ext,2155.0,2110.0,2200.0,LTE,M6,2700.0,-98.7,ghost,True,True,False
M121,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B2,PCS 1900,1962.5,1930.0,1990.0,LTE,M1,1986.05,-82.5,ok,False,False,True
M122,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B2,PCS 1900,1962.5,1930.0,1990.0,LTE,M2,1958.5,-98.7,ok,False,False,True
M123,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B2,PCS 1900,1962.5,1930.0,1990.0,LTE,M3,1933.0,-89.1,low,False,False,True
M124,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B2,PCS 1900,1962.5,1930.0,1990.0,LTE,M4,1980.0,-97.0,ok,False,False,True
M125,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B2,PCS 1900,1962.5,1930.0,1990.0,LTE,M5,1975.0,-100.0,ok,False,False,True
M126,Celdas,MS3,-31.509878,-60.721272,Interior (módulo de celdas),B2,PCS 1900,1962.5,1930.0,1990.0,LTE,M6,1980.0,-99.8,ok,False,False,True
